,ABC,AD,ADC,AUM,BAENA,BANC,BCP,BDNP,BNP,BTS,CFM,DC,DPL,EMFP,HDP,IND,LCD,LMM,LPC,LWP,MDM,MEC,MFP,MLPC,NIP,PFD,RCL,SSD,TRU,TSD,WHP
1,2260,1118,,,,,41,29,58,,,,23,,91,,1825,13,29,45,,474,40,,175,107,44,,29,,
2,3178,193,,,25,35,69,59,115,6,,,43,,75,,1996,,58,,,256,48,,191,162,90,,38,,
3,3191,360,,,53,,32,40,153,,,3240,37,,,,,,38,45,,222,82,,76,189,48,,47,,
4,2368,559,,,,27,72,21,86,,,,39,,72,,,29,22,,,221,73,,78,2667,38,,27,,
5,4192,559,,,,,61,23,185,10,,1921,36,,198,,,,21,,,154,96,,54,177,37,,,,
6,2434,1278,,,53,,85,,201,,,2109,18,,,,,,77,119,,326,,,166,756,50,,,,
7,2649,558,,,28,18,49,35,113,,,2634,29,,32,,,,45,21,,66,52,,120,82,37,,,19,
8,3209,592,,,22,27,31,35,87,,,,,,47,,2691,,38,,25,208,24,,185,142,35,,,,
9,3354,71,,,27,15,32,36,160,,,,69,,26,16,4663,,50,,,92,21,,168,74,33,6,,,
10,2719,903,,,25,38,49,,83,,,,,,63,,2227,20,55,42,,103,60,,125,116,101,,,,
11,2610,1391,,,28,,33,22,90,26,,,23,,74,13,1670,,40,27,,163,59,,112,116,47,15,,9,
12,2899,288,,,11,24,45,47,161,,,2269,42,,66,,,,63,,,204,13,,64,133,30,,19,,13
13,4846,675,,,5,,13,12,238,,,,,,39,,2809,,39,73,7,305,24,,109,94,69,,,,
14,3559,598,,,13,,41,9,237,15,,,26,,44,,2760,,114,11,24,207,26,,120,273,73,,24,,
15,3709,494,,,,,39,32,1365,19,,,42,,30,,1531,13,32,49,46,264,56,,116,104,75,30,55,,6
16,3818,1269,,,18,,38,32,335,,,,31,,61,,1814,,,,24,213,51,,148,193,37,,21,24,21
17,4007,714,,,9,26,57,23,203,,,1663,24,,41,,,12,,,39,208,,,60,70,96,,172,37,
18,3120,1314,,,36,,44,25,417,,,,,,40,,2026,26,37,15,5,189,29,,169,77,38,,30,,
19,2703,1170,,,23,,83,35,96,,,,27,,,14,2154,17,21,,24,86,49,,113,271,28,,,,
20,3374,393,,,13,,16,20,243,,,2054,21,,,,,,20,7,8,116,42,,29,81,,,,20,
21,3342,188,,,8,,44,160,126,9,,2955,38,,33,10,,,21,30,18,96,41,,48,128,36,,31,,
22,3371,218,,25,54,59,,,165,6,,2147,80,,,,,33,60,64,4,106,,,84,137,63,2,,,
23,2840,201,,,16,27,24,35,137,,,,71,,19,46,1854,12,72,37,,1195,53,,125,174,34,,24,28,
24,4290,305,,,12,,36,16,763,,,,272,,,,1746,25,27,80,,88,35,,33,47,41,4,16,78,
25,3243,1265,,,40,,,37,123,,,,71,,,37,1842,20,86,71,36,63,48,,144,97,49,,,42,
26,4271,450,,,6,30,78,29,307,6,,,22,,,0,2173,31,89,67,85,99,67,,127,101,39,,,25,
27,4723,328,,,,20,11,,220,22,,,19,,,46,2200,20,63,101,20,556,45,,148,100,78,,,13,
28,5637,397,9,5,,22,29,26,538,,,,6,,,12,2125,25,13,25,7,160,19,,72,70,29,,,,
29,4288,329,,,20,11,14,,271,,,1633,28,,12,5,,2,17,6,28,154,,,58,33,34,,,7,
30,4643,359,29,,18,,13,20,326,,,2118,32,,,9,,,23,13,23,273,33,,34,31,42,,105,,
31,5696,571,,,8,12,30,29,499,,,,17,27,13,2,2045,,16,8,37,187,,,47,22,50,,,,
32,3249,267,,,19,,12,6,350,,,,,,6,2,1129,4,9,6,44,89,19,,32,6,28,,7,,
33,5495,695,,,24,13,11,,466,,,2429,43,,,22,,3,53,24,2,343,38,,60,28,80,1,13,,
34,4784,364,,,26,,47,11,306,9,,2610,2,,,23,,23,,39,5,227,32,23,27,57,40,2,17,,7
35,4631,427,11,,43,22,18,30,491,,,2396,33,,8,14,,25,47,,32,126,42,,23,38,37,,17,,
36,6533,613,33,,24,,18,25,571,,9,,14,,19,20,2946,15,31,,25,242,32,,,45,93,9,44,,
37,6666,165,16,,38,,23,,233,17,,,3,,,18,1024,,39,13,19,149,29,,37,48,41,19,,,
38,4669,577,30,,,,14,16,372,,12,2391,37,,10,25,,24,23,11,,175,31,,39,62,39,14,,,15
39,1852,4223,,,26,,36,29,174,37,,928,50,,58,,,22,,20,55,64,67,,90,102,42,,,34,18
40,2500,1320,,,,,28,24,251,,,2593,22,,,11,,23,88,32,,55,42,,92,131,16,,,,
41,4540,1260,42,,18,,28,17,379,,,,55,,,23,1300,37,33,,87,199,58,,115,93,54,,,,15
42,5684,884,,,,50,18,,315,,,2685,41,,,15,,4,26,13,2,199,18,,46,43,56,,4,,8
43,4559,252,,,10,,46,19,118,8,,,7,,,37,2489,18,33,10,24,372,54,,,38,26,,,,
44,2772,585,,,,,46,,201,12,,2368,33,,,20,,12,29,33,15,327,32,,65,57,32,,,,
45,3393,894,,,18,11,36,,148,,,3213,18,,,23,,23,28,44,,369,65,,45,84,41,,,18,
46,3113,497,,,,,34,,109,,,2841,12,,,19,,,,,,50,28,,38,140,79,,15,,7
47,1785,692,,,,43,44,,95,,,3258,43,,,24,,24,29,,,212,,,,124,64,15,,,
48,2180,349,,,31,,87,37,48,,36,2853,41,,,,,3,36,173,25,375,,,48,75,23,,,29,
49,1854,122,,,20,,80,34,137,,45,2972,8,,,,,8,22,29,11,894,51,,67,139,28,,,,
50,2357,91,,,,,59,,108,,,2547,26,,,32,,33,28,32,31,1421,41,,39,130,11,,,,
51,3033,82,,11,23,,112,23,120,,,2993,75,,,22,,39,43,,64,368,,,37,131,31,,,,
52,521,131,,,19,,132,18,139,,33,,24,,,,1013,37,31,,,3993,,,104,81,36,,,,
53,2819,192,,,20,,300,27,102,,102,2628,52,,,28,,,29,,9,1658,,,58,61,51,3,,,
54,2421,278,,,17,25,78,,62,,38,2917,30,,26,,,24,14,61,,841,41,,51,58,16,,,,
55,3081,172,,,16,18,29,5,87,,34,2518,15,,11,,,8,32,18,12,560,20,,5,40,28,,10,,
56,1978,395,,,11,,33,29,88,,,1936,20,,,,,19,,24,16,825,,,54,55,259,11,,,
57,2277,135,,,12,,30,31,80,,,2812,20,,16,,,4,16,,21,365,23,,53,34,46,,,,
58,3044,425,,,5,13,52,25,288,0,,2812,12,,12,,,23,,,43,303,28,,38,33,42,,,,
59,838,430,,,26,,33,,136,,,2753,35,,43,45,,10,,,,430,,,53,79,,,,,
60,1507,131,,,,,8,,81,,,2336,,,,27,,,,15,,769,,,20,75,23,24,,,
61,2092,63,,,7,,77,38,180,,,2512,27,,,30,,16,,,,693,36,,65,130,34,,,,
62,722,724,,,22,,26,55,118,33,,3581,30,,,,,,,,,93,,,58,84,37,,,,
63,1807,129,,,12,,36,,112,,,4387,24,,,29,,,31,,,90,42,,62,111,69,,,,
64,794,701,,,11,,19,,172,,,2332,17,,,13,,20,13,,,252,23,,68,35,14,,,,
65,2043,134,,,14,,26,,398,14,13,2726,13,,,,,,,28,15,122,40,,57,192,45,,,19,
66,236,817,,,,,36,42,1904,16,,2657,9,,,27,,18,,,,240,40,,65,88,,,,,29
67,127,50,,,35,,30,9,2455,14,,2983,12,,,,,,,,7,99,37,,95,27,22,6,,,
68,209,299,,,,,12,,414,,,3809,50,,,,,,,,,190,17,,45,26,18,16,,,
69,630,321,,,10,,17,15,681,,,5052,40,,,,,4,,,,463,26,,28,64,66,,,,
70,286,225,,13,16,,,,241,,,5637,19,,,,,,,,,329,40,,,30,22,,,,
71,393,178,,24,,,22,20,193,,,4336,8,,,17,,,,,,101,,,38,22,77,,,,
72,2352,344,,,34,,50,42,163,,,1890,45,,,21,,20,58,40,,609,,,79,841,27,,,,
73,824,845,,,41,25,89,45,293,,,2522,,,,,,66,26,,,446,95,,231,197,199,,,,
74,3020,431,,,9,,39,32,564,,,2751,71,,,,,38,32,34,,150,56,,66,216,49,,,,
75,1606,212,,,33,,37,47,174,,,3250,,,,,,17,59,,,528,72,,154,1531,75,,19,,
76,2645,270,,,30,31,68,49,340,,,3360,,,,34,,12,24,56,,122,42,,41,145,82,,24,,
77,2388,455,,,28,42,30,44,149,,,3566,45,,,,,,56,,,436,50,,376,214,201,20,,,
78,2181,195,,,38,,79,50,453,,,2880,360,,,,,,16,,,596,,,94,120,72,21,,,
79,3253,266,,,7,,19,22,178,,,2695,25,,26,,,22,,,,442,82,,58,93,37,28,9,,
80,3443,271,,,29,,45,15,203,,,2714,49,,,,,28,21,,,365,59,,61,123,28,,,,
